time (s),signal
0.117000,-1.582803960
0.118000,-1.608339812
0.119000,-1.558795455
0.120000,-1.479431989
0.121000,-1.435951490
0.122000,-1.290871658
0.123000,-1.215772227
0.124000,-1.019319745
0.125000,-0.897930187
0.126000,-0.669045751
0.127000,-0.557844114
0.128000,-0.345219979
0.129000,-0.238558855
0.130000,-0.012001315
0.131000,0.194547654
0.132000,0.430123541
0.133000,0.517581894
0.134000,0.783043569
0.135000,0.949225989
0.136000,1.146407698
0.137000,1.279513608
0.138000,1.404528570
0.139000,1.517700983
0.140000,1.610565084
0.141000,1.751784365
0.142000,1.820580949
0.143000,1.949377689
0.144000,1.914717076
0.145000,1.968872493
0.146000,1.920707048
0.147000,1.947363359
0.148000,1.942320352
0.149000,1.919369384
0.150000,1.884458914
0.151000,1.773720203
0.152000,1.664819150
0.153000,1.626329472
0.154000,1.535097165
0.155000,1.435869836
0.156000,1.297982473
0.157000,1.248963654
0.158000,1.113360268
0.159000,1.028857569
0.160000,0.946059951
0.161000,0.830228094
0.162000,0.729919900
0.163000,0.701476552
0.164000,0.566691233
0.165000,0.480419413
0.166000,0.430301128
0.167000,0.416874449
0.168000,0.329079086
0.169000,0.301576632
0.170000,0.289188213
0.171000,0.211423887
0.172000,0.153866667
0.173000,0.197934132
0.174000,0.182549454
0.175000,0.146467020
0.176000,0.181130273
0.177000,0.163653035
0.178000,0.105070867
0.179000,0.138015871
0.180000,0.101262996
0.181000,0.043645371
0.182000,0.078345374
0.183000,0.035120417
0.184000,-0.019428452
0.185000,-0.020385396
0.186000,-0.065899888
0.187000,-0.147627294
0.188000,-0.172982224
0.189000,-0.213635457
0.190000,-0.328272724
0.191000,-0.361143049
0.192000,-0.440069244
0.193000,-0.440587142
0.194000,-0.632533543
0.195000,-0.622379622
0.196000,-0.716246985
0.197000,-0.769911591
0.198000,-0.764540828
0.199000,-0.870242620
0.200000,-0.843838830
0.201000,-0.957188795
0.202000,-0.957276679
0.203000,-0.996796149
0.204000,-1.007064998
0.205000,-0.978519808
0.206000,-0.972686233
0.207000,-0.931914952
0.208000,-0.965301044
0.209000,-0.797239663
0.210000,-0.809313398
0.211000,-0.691842724
0.212000,-0.708185905
0.213000,-0.598382815
0.214000,-0.438190757
0.215000,-0.483549377
0.216000,-0.426581664
0.217000,-0.323969366
0.218000,-0.222474077
0.219000,-0.149746590
0.220000,-0.072086532
0.221000,-0.066536544
0.222000,-0.063989870
0.223000,0.003738217
0.224000,0.075581165
0.225000,0.062083834
0.226000,-0.013187766
0.227000,0.029302177
0.228000,0.044575474
0.229000,0.026424605
0.230000,-0.072264352
0.231000,-0.142527041
0.232000,-0.261615013
0.233000,-0.330956237
0.234000,-0.392677679
0.235000,-0.472938131
0.236000,-0.568293483
0.237000,-0.699498459
0.238000,-0.818937865
0.239000,-0.904651263
0.240000,-1.008601566
0.241000,-1.040754128
0.242000,-1.207198051
0.243000,-1.215334024
0.244000,-1.247342117
0.245000,-1.257115291
0.246000,-1.327650482
0.247000,-1.310714958
0.248000,-1.346765641
0.249000,-1.333647918
0.250000,-1.290231791
0.251000,-1.165007088
0.252000,-1.104245455
0.253000,-1.025680360
0.254000,-0.830461445
0.255000,-0.806366140
0.256000,-0.648144814
0.257000,-0.506822091
0.258000,-0.361738855
0.259000,-0.116339730
0.260000,0.034813158
0.261000,0.127047063
0.262000,0.338162910
0.263000,0.543558490
0.264000,0.731908411
0.265000,0.840606737
0.266000,0.978866048
0.267000,1.145652801
0.268000,1.346034677
0.269000,1.477776296
0.270000,1.609897481
0.271000,1.679905427
0.272000,1.753586149
0.273000,1.800144716
0.274000,1.924053904
0.275000,1.961328606
0.276000,1.998927572
0.277000,1.995049229
0.278000,1.951728074
0.279000,1.968874278
0.280000,1.881164917
0.281000,1.809470206
0.282000,1.746312862
0.283000,1.667148789
0.284000,1.534228079
0.285000,1.511806781
0.286000,1.417621014
0.287000,1.299016717
0.288000,1.186593286
0.289000,1.117178639
0.290000,1.056856732
0.291000,0.908416413
0.292000,0.797674096
0.293000,0.705458683
0.294000,0.636832189
0.295000,0.522689216
0.296000,0.484924056
0.297000,0.425064684
0.298000,0.419572055
0.299000,0.339762579
0.300000,0.295524241
0.301000,0.201414812
0.302000,0.205755552
0.303000,0.118072583
0.304000,0.131050349
0.305000,0.105573083
0.306000,0.042230483
0.307000,0.097317814
0.308000,0.025410815
0.309000,-0.079605481
0.310000,-0.039640461
0.311000,-0.105656148
0.312000,-0.134691313
0.313000,-0.166588426
0.314000,-0.219480318
0.315000,-0.347914771
0.316000,-0.381865675
0.317000,-0.388885941
0.318000,-0.442110877
0.319000,-0.496656504
0.320000,-0.575007914
0.321000,-0.767947943
0.322000,-0.761154618
0.323000,-0.919309096
0.324000,-0.889382990
0.325000,-1.003262697
0.326000,-1.113960376
0.327000,-1.082775269
0.328000,-1.180317054
0.329000,-1.304951056
0.330000,-1.278906172
0.331000,-1.339072865
0.332000,-1.332335222
0.333000,-1.356617761
0.334000,-1.296435520
0.335000,-1.363054356
0.336000,-1.281252117
0.337000,-1.194662727
0.338000,-1.220527968
0.339000,-1.124994082
0.340000,-1.050676699
0.341000,-0.993751087
0.342000,-0.862107019
0.343000,-0.780705315
0.344000,-0.709164009
0.345000,-0.522072888
0.346000,-0.443886619
0.347000,-0.365791137
0.348000,-0.275299994
0.349000,-0.179249508
0.350000,-0.024168940
0.351000,0.021598352
0.352000,0.117786716
0.353000,0.166010687
0.354000,0.245901865
0.355000,0.267125513
0.356000,0.323284936
0.357000,0.310696478
0.358000,0.342716709
0.359000,0.325475155
0.360000,0.275417970
0.361000,0.213445232
0.362000,0.158902239
0.363000,0.101382039
0.364000,0.020517423
0.365000,-0.006048087
0.366000,-0.122304624
0.367000,-0.167634932
0.368000,-0.243154038
0.369000,-0.408503205
0.370000,-0.552157425
0.371000,-0.610324503
0.372000,-0.688902295
0.373000,-0.811646029
0.374000,-0.845552130
0.375000,-0.889417223
0.376000,-0.959169894
0.377000,-1.001813047
0.378000,-1.019781545
0.379000,-0.945692335
0.380000,-0.989774888
0.381000,-0.978682651
0.382000,-0.916856394
0.383000,-0.812279857
0.384000,-0.780605184
0.385000,-0.649511769
0.386000,-0.531878016
0.387000,-0.408171433
0.388000,-0.254323263
0.389000,-0.168981174
0.390000,0.032977133
0.391000,0.132260982
0.392000,0.304680211
0.393000,0.514307546
0.394000,0.664093723
0.395000,0.797490471
0.396000,0.914621911
0.397000,1.113108063
0.398000,1.214358374
0.399000,1.332006982
0.400000,1.454693573
0.401000,1.582638973
0.402000,1.598378011
0.403000,1.744467868
0.404000,1.794838178
0.405000,1.812129140
0.406000,1.884871120
0.407000,1.880496918
0.408000,1.837125528
0.409000,1.813846126
0.410000,1.819812641
0.411000,1.705953677
0.412000,1.682642668
0.413000,1.604949023
0.414000,1.548768748
0.415000,1.468851345
0.416000,1.374067539
0.417000,1.313600133
0.418000,1.190638210
0.419000,1.077678233
0.420000,0.954567928
0.421000,0.917971569
0.422000,0.820319956
0.423000,0.759814970
0.424000,0.610080677
0.425000,0.554466089
0.426000,0.478403339
0.427000,0.409521230
0.428000,0.349926468
0.429000,0.240927903
0.430000,0.264783160
0.431000,0.211703381
0.432000,0.181850549
0.433000,0.174249839
0.434000,0.058173857
0.435000,0.028892041
0.436000,-0.007173724
0.437000,0.012746942
0.438000,-0.137017008
0.439000,-0.112425917
0.440000,-0.216162648
0.441000,-0.298299780
0.442000,-0.334595277
0.443000,-0.373221767
0.444000,-0.362391500
0.445000,-0.488140982
0.446000,-0.541333054
0.447000,-0.646296913
0.448000,-0.673896713
0.449000,-0.809380586
0.450000,-0.823296340
0.451000,-0.980524073
0.452000,-1.061841847
0.453000,-1.122391623
0.454000,-1.210184317
0.455000,-1.249318455
0.456000,-1.364441130
0.457000,-1.473725551
0.458000,-1.515798037
0.459000,-1.568413164
0.460000,-1.571245688
0.461000,-1.611684484
0.462000,-1.644477979
0.463000,-1.619244212
0.464000,-1.651803519
0.465000,-1.616491501
0.466000,-1.569168066
0.467000,-1.476793277
0.468000,-1.459879025
0.469000,-1.388586059
0.470000,-1.318286671
0.471000,-1.163972149
0.472000,-1.089911298
0.473000,-0.941270136
0.474000,-0.881149650
0.475000,-0.660338800
0.476000,-0.596036526
0.477000,-0.442726600
0.478000,-0.251872781
0.479000,-0.190798411
0.480000,-0.025171447
0.481000,0.100619696
0.482000,0.181019192
0.483000,0.353594922
0.484000,0.448865783
0.485000,0.422334290
0.486000,0.501527094
0.487000,0.617889460
0.488000,0.587793074
0.489000,0.632802803
0.490000,0.650288210
0.491000,0.653767729
0.492000,0.598185317
0.493000,0.565729648
0.494000,0.484795104
0.495000,0.480675647
0.496000,0.350997172
0.497000,0.291887144
0.498000,0.175964283
0.499000,0.099909303
0.500000,-0.005044893
0.501000,-0.101593523
0.502000,-0.221726852
0.503000,-0.257802774
0.504000,-0.323435316
0.505000,-0.434610356
0.506000,-0.486127034
0.507000,-0.537730984
0.508000,-0.577043321
0.509000,-0.623911524
0.510000,-0.640033929
0.511000,-0.618541705
0.512000,-0.624818828
0.513000,-0.622860046
0.514000,-0.544281352
0.515000,-0.538135277
0.516000,-0.404079441
0.517000,-0.300905762
0.518000,-0.173896473
0.519000,-0.093853695
0.520000,0.050631990
0.521000,0.150748164
0.522000,0.252925925
0.523000,0.377064938
0.524000,0.526986362
0.525000,0.650649977
0.526000,0.843112587
0.527000,0.945352246
0.528000,1.089391383
0.529000,1.186756658
0.530000,1.318233046
0.531000,1.409867875
0.532000,1.437562889
0.533000,1.514409236
0.534000,1.558606021
0.535000,1.563765126
0.536000,1.656205141
0.537000,1.680996272
0.538000,1.640703397
0.539000,1.608402508
0.540000,1.625724106
0.541000,1.480880777
0.542000,1.504312234
0.543000,1.441789041
0.544000,1.350927637
0.545000,1.333806393
0.546000,1.240047716
0.547000,1.118239137
0.548000,1.036296145
0.549000,0.939090191
0.550000,0.847462308
0.551000,0.737075742
0.552000,0.733623681
0.553000,0.642231534
0.554000,0.558454315
0.555000,0.429260092
0.556000,0.456887618
0.557000,0.391173668
0.558000,0.279612008
0.559000,0.193726037
0.560000,0.146044804
0.561000,0.139555415
0.562000,0.057689992
0.563000,0.044492295
0.564000,0.040126572
0.565000,-0.075181049
0.566000,-0.007571012
0.567000,-0.059761356
0.568000,-0.185048922
0.569000,-0.234516444
0.570000,-0.248536250
0.571000,-0.323298383
0.572000,-0.357526386
0.573000,-0.489585135
0.574000,-0.487025181
0.575000,-0.499587853
0.576000,-0.666002163
0.577000,-0.724482749
0.578000,-0.849163836
0.579000,-0.877168949
0.580000,-0.997653151
0.581000,-1.028906008
0.582000,-1.177591135
0.583000,-1.290720090
0.584000,-1.356455726
0.585000,-1.477704388
0.586000,-1.586851668
0.587000,-1.614821986
0.588000,-1.697867405
0.589000,-1.746446433
0.590000,-1.787694377
0.591000,-1.849256215
0.592000,-1.842666761
0.593000,-1.810022808
0.594000,-1.886997287
0.595000,-1.777542167
0.596000,-1.796904987
0.597000,-1.756643772
0.598000,-1.589192357
0.599000,-1.570593503
0.600000,-1.433025510
0.601000,-1.335195700
0.602000,-1.283687400
0.603000,-1.092633680
0.604000,-0.966123918
0.605000,-0.837681322
0.606000,-0.692573802
0.607000,-0.475356223
0.608000,-0.298868817
0.609000,-0.144326544
0.610000,-0.008170004
0.611000,0.128511205
0.612000,0.266708268
0.613000,0.413990151
0.614000,0.522722908
0.615000,0.657868948
0.616000,0.759377930
0.617000,0.814030524
0.618000,0.898707938
0.619000,0.930975146
0.620000,0.984851333
0.621000,1.014505479
0.622000,1.002362599
0.623000,0.992924795
0.624000,0.895826621
0.625000,0.886664717
0.626000,0.846339513
0.627000,0.786227633
0.628000,0.638701741
0.629000,0.603656244
0.630000,0.541909528
0.631000,0.403871558
0.632000,0.308691189
0.633000,0.228251668
0.634000,0.128320100
0.635000,0.052261100
0.636000,-0.047879637
0.637000,-0.119029262
0.638000,-0.210579172
0.639000,-0.244351685
0.640000,-0.241322603
0.641000,-0.311428725
0.642000,-0.322886019
0.643000,-0.330937906
0.644000,-0.276753743
0.645000,-0.296245259
0.646000,-0.200094515
0.647000,-0.199653590
0.648000,-0.135737004
0.649000,-0.019814515
0.650000,0.065002553
0.651000,0.164645349
0.652000,0.288075864
0.653000,0.348403050
0.654000,0.480924877
0.655000,0.547638853
0.656000,0.718626055
0.657000,0.802590583
0.658000,0.897639390
0.659000,0.978696376
0.660000,1.033168765
0.661000,1.121492395
0.662000,1.210772543
0.663000,1.248512853
0.664000,1.294486612
0.665000,1.279561180
0.666000,1.343073156
0.667000,1.321904101
0.668000,1.303173990
0.669000,1.312498106
0.670000,1.232015088
0.671000,1.269173689
0.672000,1.225196567
0.673000,1.141469214
0.674000,1.049911847
0.675000,0.982502114
0.676000,0.933257320
0.677000,0.789108378
0.678000,0.789653385
0.679000,0.726214805
0.680000,0.619746115
0.681000,0.538919020
0.682000,0.486606022
0.683000,0.422583988
0.684000,0.379940635
0.685000,0.287292131
0.686000,0.210503568
0.687000,0.166723418
0.688000,0.140190971
0.689000,0.140119805
0.690000,0.046618058
0.691000,-0.009052168
0.692000,-0.034492804
0.693000,-0.100226458
0.694000,-0.055328946
0.695000,-0.133850694
0.696000,-0.158696814
0.697000,-0.211534495
0.698000,-0.219197557
0.699000,-0.205750834
0.700000,-0.303843987
0.701000,-0.363947637
0.702000,-0.358883801
0.703000,-0.433464355
0.704000,-0.475716177
0.705000,-0.538415389
0.706000,-0.639179850
0.707000,-0.762134924
0.708000,-0.816617103
0.709000,-0.892260974
0.710000,-1.022840283
0.711000,-1.149148362
0.712000,-1.174930168
0.713000,-1.322342121
0.714000,-1.422401347
0.715000,-1.506638133
0.716000,-1.568286010
0.717000,-1.676784546
0.718000,-1.771926995
0.719000,-1.808831297
0.720000,-1.820845189
0.721000,-1.886762861
0.722000,-1.937263398
0.723000,-2.004993773
0.724000,-1.856575999
0.725000,-1.986186701
0.726000,-1.925332370
0.727000,-1.881832743
0.728000,-1.741506524
0.729000,-1.690388468
0.730000,-1.642354649
0.731000,-1.472844776
0.732000,-1.331760851
0.733000,-1.212398301
0.734000,-1.083138589
0.735000,-0.902811151
0.736000,-0.721518385
0.737000,-0.530026448
0.738000,-0.365755599
0.739000,-0.146974840
0.740000,-0.018113439
0.741000,0.133883264
0.742000,0.332900481
0.743000,0.556516556
0.744000,0.649560614
0.745000,0.875620165
0.746000,0.945114038
0.747000,1.005369516
0.748000,1.109043504
0.749000,1.218128336
0.750000,1.234670682
0.751000,1.382553158
0.752000,1.305068796
0.753000,1.361181780
0.754000,1.373593369
0.755000,1.299499661
0.756000,1.230962633
0.757000,1.197143693
0.758000,1.148696110
0.759000,1.086328967
0.760000,0.975593842
0.761000,0.839311135
0.762000,0.785649315
0.763000,0.664951457
0.764000,0.520201934
0.765000,0.467107257
0.766000,0.351111634
0.767000,0.323264583
0.768000,0.282733786
0.769000,0.207568720
0.770000,0.071918689
0.771000,0.023350008
0.772000,0.018033029
0.773000,0.001484846
0.774000,-0.058082556
0.775000,-0.052393033
0.776000,0.027833397
0.777000,-0.020012657
0.778000,0.001362704
0.779000,0.062423592
0.780000,0.128188604
0.781000,0.139897535
0.782000,0.229196645
0.783000,0.272583261
0.784000,0.373374764
0.785000,0.513765237
0.786000,0.555390685
0.787000,0.604382589
0.788000,0.649979181
0.789000,0.734787650
0.790000,0.835825490
0.791000,0.840463090
0.792000,0.945662828
0.793000,0.896780608
0.794000,0.955507699
0.795000,1.032677232
0.796000,0.926109195
0.797000,1.017723118
0.798000,0.912250728
0.799000,0.941221961
0.800000,0.905891099
0.801000,0.894714230
0.802000,0.726952203
0.803000,0.709371370
0.804000,0.690079145
0.805000,0.644344991
0.806000,0.549867948
0.807000,0.501941442
0.808000,0.404566721
0.809000,0.360531561
0.810000,0.281489740
0.811000,0.251408044
0.812000,0.202435385
0.813000,0.173289080
0.814000,0.060850130
0.815000,0.026534009
0.816000,-0.001497672
0.817000,-0.045324434
0.818000,-0.066316583
0.819000,-0.135001491
0.820000,-0.095993500
0.821000,-0.149925064
0.822000,-0.163629487
0.823000,-0.193069799
0.824000,-0.120167633
0.825000,-0.168925599
0.826000,-0.141172651
0.827000,-0.180782387
0.828000,-0.256764588
0.829000,-0.259320538
0.830000,-0.230578310
0.831000,-0.308965784
0.832000,-0.358228033
0.833000,-0.377772763
0.834000,-0.432251132
0.835000,-0.519654362
0.836000,-0.569164499
0.837000,-0.651247475
0.838000,-0.799024108
0.839000,-0.796870018
0.840000,-0.932179003
0.841000,-0.968729647
0.842000,-1.145227118
0.843000,-1.262350074
0.844000,-1.283362386
0.845000,-1.468671739
0.846000,-1.538672780
0.847000,-1.594673858
0.848000,-1.708225880
0.849000,-1.824708807
0.850000,-1.835374806
0.851000,-1.900480271
0.852000,-1.895970263
0.853000,-1.941567799
0.854000,-1.876705661
0.855000,-2.008637559
0.856000,-1.933698063
0.857000,-1.920769304
0.858000,-1.791689337
0.859000,-1.721266543
0.860000,-1.625389341
0.861000,-1.556670431
0.862000,-1.425320982
0.863000,-1.319032439
0.864000,-1.049116308
0.865000,-0.916238790
0.866000,-0.761150777
0.867000,-0.540003912
0.868000,-0.355224447
0.869000,-0.155595358
0.870000,-0.040368989
0.871000,0.178045857
0.872000,0.392053923
0.873000,0.576931964
0.874000,0.766265741
0.875000,0.867766546
0.876000,1.049691969
0.877000,1.245644313
0.878000,1.318227680
0.879000,1.424829695
0.880000,1.481789661
0.881000,1.570896721
0.882000,1.649074982
0.883000,1.626856762
0.884000,1.671015428
0.885000,1.601220355
0.886000,1.621766787
0.887000,1.592309367
0.888000,1.489614597
0.889000,1.479522363
0.890000,1.349841667
0.891000,1.260414282
0.892000,1.191890583
0.893000,1.152111626
0.894000,1.002530629
0.895000,0.919301850
0.896000,0.768049252
0.897000,0.693749504
0.898000,0.561916099
0.899000,0.491801167
0.900000,0.453044652
0.901000,0.354367207
0.902000,0.336066163
0.903000,0.233654422
0.904000,0.191663653
0.905000,0.204688971
0.906000,0.126620292
0.907000,0.090832302
0.908000,0.175991473
0.909000,0.159401863
0.910000,0.100660556
0.911000,0.193163461
0.912000,0.212308627
0.913000,0.314445843
0.914000,0.281612248
0.915000,0.329713514
0.916000,0.364306527
0.917000,0.403876939
0.918000,0.456380602
0.919000,0.472928235
0.920000,0.519196989
0.921000,0.530512603
0.922000,0.555906018
0.923000,0.568942800
0.924000,0.607243633
0.925000,0.601386301
0.926000,0.575830462
0.927000,0.609444973
0.928000,0.568102683
0.929000,0.523427796
0.930000,0.482296313
0.931000,0.497566401
0.932000,0.405161947
0.933000,0.356040263
0.934000,0.204722046
0.935000,0.201078096
0.936000,0.092990638
0.937000,0.082992682
0.938000,0.046019530
0.939000,-0.043883588
0.940000,-0.063070495
0.941000,-0.159875961
0.942000,-0.157297134
0.943000,-0.260743441
0.944000,-0.255275604
0.945000,-0.261564720
0.946000,-0.278164214
0.947000,-0.311586092
0.948000,-0.256829748
0.949000,-0.328899549
0.950000,-0.326274471
0.951000,-0.387437036
0.952000,-0.240058696
0.953000,-0.290296034
0.954000,-0.299381046
0.955000,-0.209340195
0.956000,-0.198015438
0.957000,-0.220451507
0.958000,-0.259112981
0.959000,-0.200783526
0.960000,-0.235298910
0.961000,-0.262079293
0.962000,-0.213783652
0.963000,-0.335688912
0.964000,-0.290299942
0.965000,-0.338389360
0.966000,-0.344801649
0.967000,-0.459873288
0.968000,-0.603408861
0.969000,-0.646863627
0.970000,-0.707201890
0.971000,-0.792001997
0.972000,-0.871665470
0.973000,-1.061745834
0.974000,-1.116560415
0.975000,-1.181382796
0.976000,-1.266260398
0.977000,-1.355245301
0.978000,-1.515759209
0.979000,-1.556675062
0.980000,-1.614516685
0.981000,-1.695128429
0.982000,-1.761842203
0.983000,-1.796975785
0.984000,-1.868217013
0.985000,-1.893994520
0.986000,-1.809623288
0.987000,-1.819915093
0.988000,-1.762265704
0.989000,-1.712172785
0.990000,-1.621696201
0.991000,-1.500261278
0.992000,-1.418286009
0.993000,-1.250103866
0.994000,-1.094798609
0.995000,-0.941605236
0.996000,-0.787585443
0.997000,-0.558547740
0.998000,-0.335857747
0.999000,-0.215245523
1.000000,0.037033886
1.001000,0.223886156
1.002000,0.312439304
1.003000,0.559310513
1.004000,0.746201340
1.005000,0.962737719
1.006000,1.107834891
1.007000,1.266390809
1.008000,1.406718594
1.009000,1.480276258
1.010000,1.587512497
1.011000,1.658124514
1.012000,1.756313578
1.013000,1.805929993
1.014000,1.844244886
1.015000,1.828757798
1.016000,1.871716222
1.017000,1.849323018
1.018000,1.829948325
1.019000,1.752409752
1.020000,1.671433392
1.021000,1.609775939
1.022000,1.522345187
1.023000,1.391521569
1.024000,1.351261052
1.025000,1.262034168
1.026000,1.165970520
1.027000,1.004012332
1.028000,0.910818065
1.029000,0.815159673
1.030000,0.709065530
1.031000,0.640358660
1.032000,0.538020520
1.033000,0.463815001
1.034000,0.459101438
1.035000,0.357111476
1.036000,0.309325146
1.037000,0.298171728
1.038000,0.249594812
1.039000,0.235704807
1.040000,0.214750225
1.041000,0.176740313
1.042000,0.215136183
1.043000,0.189594733
1.044000,0.241385158
1.045000,0.213524182
1.046000,0.291601855
1.047000,0.301703128
1.048000,0.301539558
1.049000,0.301647796
1.050000,0.325233638
1.051000,0.257517003
1.052000,0.282116579
1.053000,0.303306194
1.054000,0.304599620
1.055000,0.271777063
1.056000,0.217286652
1.057000,0.218138542
1.058000,0.160960216
1.059000,0.097135550
1.060000,0.088513821
1.061000,0.017355309
1.062000,0.001074270
1.063000,-0.075812850
1.064000,-0.136080702
1.065000,-0.211040132
1.066000,-0.307658584
1.067000,-0.369847728
1.068000,-0.442102267
1.069000,-0.363409640
1.070000,-0.528598855
1.071000,-0.542682030
1.072000,-0.580356635
1.073000,-0.603529776
1.074000,-0.630146089
1.075000,-0.677947303
1.076000,-0.652824213
1.077000,-0.657453137
1.078000,-0.604627767
1.079000,-0.599236142
1.080000,-0.570748318
1.081000,-0.509529592
1.082000,-0.494879032
1.083000,-0.407535797
1.084000,-0.403203945
1.085000,-0.340381854
1.086000,-0.343240892
1.087000,-0.242394462
1.088000,-0.236577739
1.089000,-0.179564839
1.090000,-0.155716249
1.091000,-0.152179521
1.092000,-0.130429992
1.093000,-0.147984133
1.094000,-0.105695494
1.095000,-0.138359859
1.096000,-0.183126903
1.097000,-0.275131128
1.098000,-0.325506443
1.099000,-0.375434973
1.100000,-0.435325509
1.101000,-0.495493888
1.102000,-0.624108926
1.103000,-0.656112358
1.104000,-0.789895339
1.105000,-0.951611760
1.106000,-1.007515554
1.107000,-1.171707492
1.108000,-1.214478215
1.109000,-1.301045296
1.110000,-1.388411369
1.111000,-1.456336244
1.112000,-1.523997753
1.113000,-1.582994897
1.114000,-1.558988917
1.115000,-1.591027469
1.116000,-1.668551296
1.117000,-1.586040505
1.118000,-1.643596313
1.119000,-1.572306276
1.120000,-1.436609497
1.121000,-1.465899409
1.122000,-1.280226451
1.123000,-1.217088522
1.124000,-1.050195698
1.125000,-0.903431708
1.126000,-0.686632569
1.127000,-0.590587432
1.128000,-0.388261119
1.129000,-0.180650341
1.130000,-0.015890459
1.131000,0.160191264
1.132000,0.375975920
1.133000,0.570814717
1.134000,0.779846642
1.135000,0.903193798
1.136000,1.086927397
1.137000,1.267830323
1.138000,1.397951411
1.139000,1.527792065
1.140000,1.647500382
1.141000,1.725046497
1.142000,1.802341140
1.143000,1.901991574
1.144000,1.900194818
1.145000,1.994222253
1.146000,1.974296238
1.147000,1.920931003
1.148000,1.942976725
1.149000,1.899668942
1.150000,1.863880705
1.151000,1.809810135
1.152000,1.687343923
1.153000,1.591361079
1.154000,1.501408106
1.155000,1.391687433
1.156000,1.296597857
1.157000,1.223497195
1.158000,1.111181365
1.159000,0.993122120
1.160000,0.885690079
1.161000,0.822386512
1.162000,0.706276449
1.163000,0.605687993
1.164000,0.554829896
1.165000,0.481363532
1.166000,0.394840878
1.167000,0.397206680
1.168000,0.350898085
1.169000,0.287222113
1.170000,0.257247481
1.171000,0.242628888
1.172000,0.204736086
1.173000,0.215690205
1.174000,0.225337665
1.175000,0.167122117
1.176000,0.168205285
1.177000,0.171629563
1.178000,0.124779356
1.179000,0.088620182
1.180000,0.134326169
1.181000,0.041073198
1.182000,0.118421967
1.183000,0.062589859
1.184000,0.008560770
1.185000,-0.034540885
1.186000,-0.028001948
1.187000,-0.158687957
1.188000,-0.219798594
1.189000,-0.262031483
1.190000,-0.314746649
1.191000,-0.402763827
1.192000,-0.435536084
1.193000,-0.504489103
1.194000,-0.601080168
1.195000,-0.595146561
1.196000,-0.748821852
1.197000,-0.805207350
1.198000,-0.810304897
1.199000,-0.876209912
1.200000,-0.898535335
1.201000,-0.962493475
1.202000,-0.998792234
1.203000,-1.001437028
1.204000,-1.006852217
1.205000,-0.964644422
1.206000,-0.978607838
1.207000,-0.915146788
1.208000,-0.884507948
1.209000,-0.826095804
1.210000,-0.777281920
1.211000,-0.720599304
1.212000,-0.654876952
1.213000,-0.622659655
1.214000,-0.540995544
1.215000,-0.512361316
